conference,division,name,common_name,abbr,logo,franchise_id
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Colorado Avalanche,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,27
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Tampa Bay Lightning,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,31
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",Carolina Hurricanes,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,26
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Minnesota Wild,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,37
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Dallas Stars,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,15
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Montréal Canadiens,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,1
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Detroit Red Wings,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg?season=20252026,12
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",Pittsburgh Penguins,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,17
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Buffalo Sabres,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_light.svg,19
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Boston Bruins,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_light.svg?season=20252026,6
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",New York Islanders,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,22
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Vegas Golden Knights,Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,38
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",Columbus Blue Jackets,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,36
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",Washington Capitals,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_secondary_light.svg,24
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Utah Mammoth,Mammoth,UTA,https://assets.nhle.com/logos/nhl/svg/UTA_light.svg?season=20252026,40
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Edmonton Oilers,Oilers,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_light.svg,25
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Seattle Kraken,Kraken,SEA,https://assets.nhle.com/logos/nhl/svg/SEA_light.svg,39
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Anaheim Ducks,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,32
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Ottawa Senators,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_light.svg,30
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Toronto Maple Leafs,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,5
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",Philadelphia Flyers,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_light.svg,16
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'A', 'name': 'Atlantic'}",Florida Panthers,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,33
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Los Angeles Kings,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,14
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Nashville Predators,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,34
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",San Jose Sharks,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_light.svg,29
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",New Jersey Devils,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,23
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Chicago Blackhawks,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_light.svg?season=20252026,11
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",Winnipeg Jets,Jets,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,35
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Calgary Flames,Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,21
"{'abbr': 'E', 'name': 'Eastern'}","{'abbr': 'M', 'name': 'Metropolitan'}",New York Rangers,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,10
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'C', 'name': 'Central'}",St. Louis Blues,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_light.svg?season=20252026,18
"{'abbr': 'W', 'name': 'Western'}","{'abbr': 'P', 'name': 'Pacific'}",Vancouver Canucks,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_light.svg,20
